mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","101",3,81920,1079632,1446811
"hot","2","93",2,81920,1079632,1442707
"hot","3","110",3,81920,1079632,1446811
"hot","4","88",2,81920,1079632,1442707
"hot","5","79",2,81920,1079632,1446811
"hot","6","92",3,81920,1079632,1446811
"hot","7","79",2,81920,1079632,1446811
