mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","77",3,579681,2318724,4097132
"hot","2","72",3,579681,2318724,4097132
"hot","3","89",3,579681,2318724,4097132
"hot","4","117",3,579681,2318724,4097132
"hot","5","79",3,579681,2318724,4097132
"hot","6","90",3,579681,2318724,4097132
"hot","7","87",3,579681,2318724,3132462
