mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","98",13,6281313,25125252,3688152
"hot","2","91",6,6281313,25125252,3688152
"hot","3","102",6,6281313,25125252,3688152
"hot","4","85",5,6281313,25125252,3688152
"hot","5","88",7,6281313,25125252,3688152
"hot","6","95",5,6281313,25125252,3688152
"hot","7","76",6,6281313,25125252,3688152
