mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","94",17,1966080,3319587,313532
"hot","2","114",37,1966080,3319587,313532
"hot","3","102",17,1966080,3319587,309428
"hot","4","104",16,1966080,3319587,311766
"hot","5","144",20,1966080,3319587,313532
"hot","6","90",17,1966080,3319587,309428
"hot","7","98",17,1966080,3319587,313532
